word,language,length,difficulty,clue,source,source_license
nez,fr,3,,Organe olfactif,hand-curated,FSL-1.1-MIT
nid,fr,3,,Abri d'oiseau,hand-curated,FSL-1.1-MIT
noir,fr,4,,Sans lumiere,hand-curated,FSL-1.1-MIT
noire,fr,5,,Sombre au feminin,hand-curated,FSL-1.1-MIT
nuit,fr,4,,Obscurite nocturne,hand-curated,FSL-1.1-MIT
oie,fr,3,,Volatile a long cou,hand-curated,FSL-1.1-MIT
oiseau,fr,6,,Animal a plumes,hand-curated,FSL-1.1-MIT
oiseaux,fr,7,,Etres a plumes (pl.),hand-curated,FSL-1.1-MIT
onze,fr,4,,Apres dix,hand-curated,FSL-1.1-MIT
ours,fr,4,,Plantigrade,hand-curated,FSL-1.1-MIT
pain,fr,4,,Aliment de farine,hand-curated,FSL-1.1-MIT
pas,fr,3,,Foulee,hand-curated,FSL-1.1-MIT
petit,fr,5,,De faible taille,hand-curated,FSL-1.1-MIT
pie,fr,3,,Oiseau noir et blanc,hand-curated,FSL-1.1-MIT
pois,fr,4,,Legume vert rond,hand-curated,FSL-1.1-MIT
porc,fr,4,,Animal de ferme rose,hand-curated,FSL-1.1-MIT
porte,fr,5,,Ouverture murale,hand-curated,FSL-1.1-MIT
rat,fr,3,,Petit rongeur,hand-curated,FSL-1.1-MIT
rein,fr,4,,Organe filtrant,hand-curated,FSL-1.1-MIT
rien,fr,4,,Aucune chose,hand-curated,FSL-1.1-MIT
rire,fr,4,,Manifestation de joie,hand-curated,FSL-1.1-MIT
roi,fr,3,,Souverain,hand-curated,FSL-1.1-MIT
rose,fr,4,,Fleur a epines,hand-curated,FSL-1.1-MIT
rouge,fr,5,,Couleur du sang,hand-curated,FSL-1.1-MIT
route,fr,5,,Voie de circulation,hand-curated,FSL-1.1-MIT
rue,fr,3,,Voie urbaine,hand-curated,FSL-1.1-MIT
sac,fr,3,,Contenant souple,hand-curated,FSL-1.1-MIT
saga,fr,4,,Long recit,hand-curated,FSL-1.1-MIT
sage,fr,4,,Raisonnable,hand-curated,FSL-1.1-MIT
seul,fr,4,,Sans compagnie,hand-curated,FSL-1.1-MIT
sol,fr,3,,Surface au sol,hand-curated,FSL-1.1-MIT
soleil,fr,6,,Astre du jour,hand-curated,FSL-1.1-MIT
sourire,fr,7,,Expression de joie,hand-curated,FSL-1.1-MIT
table,fr,5,,Meuble plat,hand-curated,FSL-1.1-MIT
tas,fr,3,,Amas,hand-curated,FSL-1.1-MIT
tige,fr,4,,Pousse vegetale,hand-curated,FSL-1.1-MIT
toit,fr,4,,Couverture d'un batiment,hand-curated,FSL-1.1-MIT
vent,fr,4,,Air en mouvement,hand-curated,FSL-1.1-MIT
verre,fr,5,,Recipient transparent,hand-curated,FSL-1.1-MIT
vie,fr,3,,Existence,hand-curated,FSL-1.1-MIT
vin,fr,3,,Boisson de raisin,hand-curated,FSL-1.1-MIT
voiture,fr,7,,Automobile,hand-curated,FSL-1.1-MIT
vrai,fr,4,,Conforme a la verite,hand-curated,FSL-1.1-MIT
yeux,fr,4,,Organes de la vue,hand-curated,FSL-1.1-MIT
zero,fr,4,,Chiffre nul,hand-curated,FSL-1.1-MIT
zoo,fr,3,,Parc animalier,hand-curated,FSL-1.1-MIT
acte,fr,4,,Division d'une piece,hand-curated,FSL-1.1-MIT
adieu,fr,5,,Salut definitif,hand-curated,FSL-1.1-MIT
ado,fr,3,,Jeune en abrege,hand-curated,FSL-1.1-MIT
age,fr,3,,Nombre d'annees,hand-curated,FSL-1.1-MIT
ai,fr,2,,Intelligence artificielle,hand-curated,FSL-1.1-MIT
an,fr,2,,Duree de douze mois,hand-curated,FSL-1.1-MIT
ancre,fr,5,,Piece d'amarrage,hand-curated,FSL-1.1-MIT
arc,fr,3,,Arme de trait,hand-curated,FSL-1.1-MIT
as,fr,2,,Carte a jouer,hand-curated,FSL-1.1-MIT
au,fr,2,,Contraction de a le,hand-curated,FSL-1.1-MIT
avis,fr,4,,Opinion exprimee,hand-curated,FSL-1.1-MIT
axe,fr,3,,Ligne centrale,hand-curated,FSL-1.1-MIT
bague,fr,5,,Anneau orne,hand-curated,FSL-1.1-MIT
bain,fr,4,,Immersion dans l'eau,hand-curated,FSL-1.1-MIT
balai,fr,5,,Outil de nettoyage,hand-curated,FSL-1.1-MIT
balance,fr,7,,Instrument de pesee,hand-curated,FSL-1.1-MIT
bandage,fr,7,,Pansement enroule,hand-curated,FSL-1.1-MIT
bec,fr,3,,Bouche d'oiseau,hand-curated,FSL-1.1-MIT
bel,fr,3,,Beau devant voyelle,hand-curated,FSL-1.1-MIT
beurre,fr,6,,Matiere grasse laitiere,hand-curated,FSL-1.1-MIT
bi,fr,2,,Prefixe pour deux,hand-curated,FSL-1.1-MIT
bic,fr,3,,Stylo a bille,hand-curated,FSL-1.1-MIT
biche,fr,5,,Femelle du cerf,hand-curated,FSL-1.1-MIT
bijou,fr,5,,Ornement precieux,hand-curated,FSL-1.1-MIT
ble,fr,3,,Cereale a pain,hand-curated,FSL-1.1-MIT
bocal,fr,5,,Recipient en verre,hand-curated,FSL-1.1-MIT
boeuf,fr,5,,Bovin male,hand-curated,FSL-1.1-MIT
bois,fr,4,,Matiere des arbres,hand-curated,FSL-1.1-MIT
botte,fr,5,,Chaussure haute,hand-curated,FSL-1.1-MIT
boucher,fr,7,,Vendeur de viande,hand-curated,FSL-1.1-MIT
bougie,fr,6,,Batonnet de cire,hand-curated,FSL-1.1-MIT
branche,fr,7,,Ramification d'arbre,hand-curated,FSL-1.1-MIT
brave,fr,5,,Courageux,hand-curated,FSL-1.1-MIT
brevet,fr,6,,Titre de propriete,hand-curated,FSL-1.1-MIT
brique,fr,6,,Bloc de construction,hand-curated,FSL-1.1-MIT
bts,fr,3,,Diplome technique,hand-curated,FSL-1.1-MIT
bu,fr,2,,Absorbe un liquide,hand-curated,FSL-1.1-MIT
buee,fr,4,,Vapeur condensee,hand-curated,FSL-1.1-MIT
ca,fr,2,,Pronom demonstratif,hand-curated,FSL-1.1-MIT
cabane,fr,6,,Petite construction,hand-curated,FSL-1.1-MIT
cabinet,fr,7,,Bureau professionnel,hand-curated,FSL-1.1-MIT
cable,fr,5,,Fil conducteur,hand-curated,FSL-1.1-MIT
cadre,fr,5,,Bordure d'un tableau,hand-curated,FSL-1.1-MIT
canne,fr,5,,Baton de marche,hand-curated,FSL-1.1-MIT
casque,fr,6,,Protection de tete,hand-curated,FSL-1.1-MIT
cave,fr,4,,Piece souterraine,hand-curated,FSL-1.1-MIT
ce,fr,2,,Determinant demonstratif,hand-curated,FSL-1.1-MIT
cerf,fr,4,,Ruminant a bois,hand-curated,FSL-1.1-MIT
cerise,fr,6,,Petit fruit rouge,hand-curated,FSL-1.1-MIT
chai,fr,4,,Entrepot a vin,hand-curated,FSL-1.1-MIT
chair,fr,5,,Tissu musculaire,hand-curated,FSL-1.1-MIT
chaleur,fr,7,,Sensation de chaud,hand-curated,FSL-1.1-MIT
chateau,fr,7,,Demeure fortifiee,hand-curated,FSL-1.1-MIT
chauve,fr,6,,Sans cheveux,hand-curated,FSL-1.1-MIT
chef,fr,4,,Celui qui dirige,hand-curated,FSL-1.1-MIT
chemise,fr,7,,Vetement du buste,hand-curated,FSL-1.1-MIT
chevre,fr,6,,Ruminant a cornes,hand-curated,FSL-1.1-MIT
ci,fr,2,,Ici en abrege,hand-curated,FSL-1.1-MIT
cigare,fr,6,,Rouleau de tabac,hand-curated,FSL-1.1-MIT
cire,fr,4,,Matiere d'abeille,hand-curated,FSL-1.1-MIT
cirque,fr,6,,Spectacle sous chapiteau,hand-curated,FSL-1.1-MIT
ciseaux,fr,7,,Outil pour couper,hand-curated,FSL-1.1-MIT
claie,fr,5,,Treillage d'osier,hand-curated,FSL-1.1-MIT
cle,fr,3,,Outil pour ouvrir,hand-curated,FSL-1.1-MIT
cloche,fr,6,,Instrument sonore,hand-curated,FSL-1.1-MIT
clou,fr,4,,Pointe metallique,hand-curated,FSL-1.1-MIT
code,fr,4,,Systeme de signes,hand-curated,FSL-1.1-MIT
coeur,fr,5,,Organe vital,hand-curated,FSL-1.1-MIT
coffre,fr,6,,Meuble de rangement,hand-curated,FSL-1.1-MIT
colere,fr,6,,Emotion violente,hand-curated,FSL-1.1-MIT
colline,fr,7,,Petite elevation,hand-curated,FSL-1.1-MIT
corde,fr,5,,Lien tresse,hand-curated,FSL-1.1-MIT
corne,fr,5,,Appendice animal,hand-curated,FSL-1.1-MIT
costume,fr,7,,Tenue complete,hand-curated,FSL-1.1-MIT
cou,fr,3,,Partie entre tete et corps,hand-curated,FSL-1.1-MIT
coup,fr,4,,Choc brutal,hand-curated,FSL-1.1-MIT
coupe,fr,5,,Trophee sportif,hand-curated,FSL-1.1-MIT
cour,fr,4,,Espace a ciel ouvert,hand-curated,FSL-1.1-MIT
course,fr,6,,Epreuve de vitesse,hand-curated,FSL-1.1-MIT
crane,fr,5,,Boite osseuse de la tete,hand-curated,FSL-1.1-MIT
cri,fr,3,,Son aigu et fort,hand-curated,FSL-1.1-MIT
cuisine,fr,7,,Piece pour cuisiner,hand-curated,FSL-1.1-MIT
da,fr,2,,Oui en russe,hand-curated,FSL-1.1-MIT
dame,fr,4,,Femme distinguee,hand-curated,FSL-1.1-MIT
danse,fr,5,,Art du mouvement,hand-curated,FSL-1.1-MIT
dauphin,fr,7,,Mammifere marin,hand-curated,FSL-1.1-MIT
de,fr,2,,Preposition d'origine,hand-curated,FSL-1.1-MIT
defi,fr,4,,Epreuve a relever,hand-curated,FSL-1.1-MIT
dessin,fr,6,,Trace sur papier,hand-curated,FSL-1.1-MIT
diable,fr,6,,Demon,hand-curated,FSL-1.1-MIT
diamant,fr,7,,Pierre precieuse,hand-curated,FSL-1.1-MIT
disque,fr,6,,Support circulaire,hand-curated,FSL-1.1-MIT
do,fr,2,,Note de musique,hand-curated,FSL-1.1-MIT
douane,fr,6,,Controle frontalier,hand-curated,FSL-1.1-MIT
dragon,fr,6,,Creature legendaire,hand-curated,FSL-1.1-MIT
du,fr,2,,Article contracte,hand-curated,FSL-1.1-MIT
duel,fr,4,,Combat singulier,hand-curated,FSL-1.1-MIT
dur,fr,3,,Resistant au toucher,hand-curated,FSL-1.1-MIT
eclair,fr,6,,Decharge lumineuse,hand-curated,FSL-1.1-MIT
elire,fr,5,,Choisir par vote,hand-curated,FSL-1.1-MIT
elu,fr,3,,Choisi par vote,hand-curated,FSL-1.1-MIT
en,fr,2,,Preposition de lieu,hand-curated,FSL-1.1-MIT
encre,fr,5,,Liquide pour ecrire,hand-curated,FSL-1.1-MIT
energie,fr,7,,Force en action,hand-curated,FSL-1.1-MIT
enigme,fr,6,,Mystere a resoudre,hand-curated,FSL-1.1-MIT
envie,fr,5,,Desir intense,hand-curated,FSL-1.1-MIT
eon,fr,3,,Longue periode,hand-curated,FSL-1.1-MIT
epee,fr,4,,Arme d'escrime,hand-curated,FSL-1.1-MIT
epi,fr,3,,Partie du ble,hand-curated,FSL-1.1-MIT
epice,fr,5,,Condiment parfume,hand-curated,FSL-1.1-MIT
epine,fr,5,,Piquant vegetal,hand-curated,FSL-1.1-MIT
es,fr,2,,Verbe etre conjugue,hand-curated,FSL-1.1-MIT
espion,fr,6,,Agent secret,hand-curated,FSL-1.1-MIT
estrade,fr,7,,Plateforme sureelevee,hand-curated,FSL-1.1-MIT
et,fr,2,,Conjonction de coordination,hand-curated,FSL-1.1-MIT
etage,fr,5,,Niveau d'un batiment,hand-curated,FSL-1.1-MIT
etape,fr,5,,Phase d'un parcours,hand-curated,FSL-1.1-MIT
ete,fr,3,,Saison chaude,hand-curated,FSL-1.1-MIT
etui,fr,4,,Enveloppe protectrice,hand-curated,FSL-1.1-MIT
eu,fr,2,,Participe passe d'avoir,hand-curated,FSL-1.1-MIT
fa,fr,2,,Note de musique,hand-curated,FSL-1.1-MIT
fait,fr,4,,Evenement reel,hand-curated,FSL-1.1-MIT
faon,fr,4,,Petit du cerf,hand-curated,FSL-1.1-MIT
faute,fr,5,,Erreur commise,hand-curated,FSL-1.1-MIT
fi,fr,2,,Exclamation de degout,hand-curated,FSL-1.1-MIT
ficelle,fr,7,,Corde fine,hand-curated,FSL-1.1-MIT
fievre,fr,6,,Hausse de temperature,hand-curated,FSL-1.1-MIT
figue,fr,5,,Fruit mediterraneen,hand-curated,FSL-1.1-MIT
fin,fr,3,,Terme d'un recit,hand-curated,FSL-1.1-MIT
flamme,fr,6,,Langue de feu,hand-curated,FSL-1.1-MIT
fleuve,fr,6,,Grand cours d'eau,hand-curated,FSL-1.1-MIT
foret,fr,5,,Grande etendue boisee,hand-curated,FSL-1.1-MIT
foule,fr,5,,Masse de gens,hand-curated,FSL-1.1-MIT
four,fr,4,,Appareil de cuisson,hand-curated,FSL-1.1-MIT
frein,fr,5,,Dispositif d'arret,hand-curated,FSL-1.1-MIT
fumoir,fr,6,,Salle pour fumer,hand-curated,FSL-1.1-MIT
galere,fr,6,,Navire a rames,hand-curated,FSL-1.1-MIT
geai,fr,4,,Oiseau des bois,hand-curated,FSL-1.1-MIT
gel,fr,3,,Eau solidifiee,hand-curated,FSL-1.1-MIT
geste,fr,5,,Mouvement du corps,hand-curated,FSL-1.1-MIT
girafe,fr,6,,Animal au long cou,hand-curated,FSL-1.1-MIT
glace,fr,5,,Eau gelee ou dessert,hand-curated,FSL-1.1-MIT
glacier,fr,7,,Masse de glace,hand-curated,FSL-1.1-MIT
globe,fr,5,,Sphere terrestre,hand-curated,FSL-1.1-MIT
go,fr,2,,Jeu de strategie,hand-curated,FSL-1.1-MIT
goutte,fr,6,,Perle de liquide,hand-curated,FSL-1.1-MIT
grain,fr,5,,Petite semence,hand-curated,FSL-1.1-MIT
grotte,fr,6,,Cavite naturelle,hand-curated,FSL-1.1-MIT
ha,fr,2,,Exclamation de surprise,hand-curated,FSL-1.1-MIT
hamster,fr,7,,Petit rongeur domestique,hand-curated,FSL-1.1-MIT
he,fr,2,,Interjection d'appel,hand-curated,FSL-1.1-MIT
herbe,fr,5,,Plante des prairies,hand-curated,FSL-1.1-MIT
hibou,fr,5,,Rapace nocturne,hand-curated,FSL-1.1-MIT
hier,fr,4,,Jour precedent,hand-curated,FSL-1.1-MIT
horizon,fr,7,,Ligne terre-ciel,hand-curated,FSL-1.1-MIT
ice,fr,3,,Glace en anglais,hand-curated,FSL-1.1-MIT
if,fr,2,,Arbre a baies rouges,hand-curated,FSL-1.1-MIT
il,fr,2,,Pronom personnel masculin,hand-curated,FSL-1.1-MIT
image,fr,5,,Representation visuelle,hand-curated,FSL-1.1-MIT
in,fr,2,,Prefixe de negation,hand-curated,FSL-1.1-MIT
ire,fr,3,,Colere poetique,hand-curated,FSL-1.1-MIT
issue,fr,5,,Sortie possible,hand-curated,FSL-1.1-MIT
ivoire,fr,6,,Matiere blanche des defenses,hand-curated,FSL-1.1-MIT
je,fr,2,,Pronom premiere personne,hand-curated,FSL-1.1-MIT
jeton,fr,5,,Piece de jeu,hand-curated,FSL-1.1-MIT
jeu,fr,3,,Activite ludique,hand-curated,FSL-1.1-MIT
jouet,fr,5,,Objet pour s'amuser,hand-curated,FSL-1.1-MIT
journal,fr,7,,Publication quotidienne,hand-curated,FSL-1.1-MIT
juge,fr,4,,Magistrat,hand-curated,FSL-1.1-MIT
jungle,fr,6,,Foret tropicale dense,hand-curated,FSL-1.1-MIT
jupe,fr,4,,Vetement feminin,hand-curated,FSL-1.1-MIT
la,fr,2,,Note de musique,hand-curated,FSL-1.1-MIT
lame,fr,4,,Partie tranchante,hand-curated,FSL-1.1-MIT
lampe,fr,5,,Source de lumiere,hand-curated,FSL-1.1-MIT
laniere,fr,7,,Bande de cuir,hand-curated,FSL-1.1-MIT
le,fr,2,,Article defini masculin,hand-curated,FSL-1.1-MIT
legende,fr,7,,Recit mythique,hand-curated,FSL-1.1-MIT
li,fr,2,,Unite de mesure chinoise,hand-curated,FSL-1.1-MIT
liberte,fr,7,,Etat de celui qui est libre,hand-curated,FSL-1.1-MIT
lien,fr,4,,Ce qui attache,hand-curated,FSL-1.1-MIT
linge,fr,5,,Tissu a laver,hand-curated,FSL-1.1-MIT
loup,fr,4,,Canide sauvage,hand-curated,FSL-1.1-MIT
lu,fr,2,,Participe passe de lire,hand-curated,FSL-1.1-MIT
lumiere,fr,7,,Rayonnement visible,hand-curated,FSL-1.1-MIT
luxe,fr,4,,Raffinement couteux,hand-curated,FSL-1.1-MIT
ma,fr,2,,Determinant possessif feminin,hand-curated,FSL-1.1-MIT
magie,fr,5,,Art de l'illusion,hand-curated,FSL-1.1-MIT
manche,fr,6,,Partie d'un vetement,hand-curated,FSL-1.1-MIT
marche,fr,6,,Lieu de commerce,hand-curated,FSL-1.1-MIT
marin,fr,5,,Homme de la mer,hand-curated,FSL-1.1-MIT
me,fr,2,,Pronom personnel reflechi,hand-curated,FSL-1.1-MIT
melon,fr,5,,Fruit sucre d'ete,hand-curated,FSL-1.1-MIT
mer,fr,3,,Grande etendue salee,hand-curated,FSL-1.1-MIT
metal,fr,5,,Materiau conducteur,hand-curated,FSL-1.1-MIT
mi,fr,2,,Note de musique,hand-curated,FSL-1.1-MIT
mine,fr,4,,Gisement souterrain,hand-curated,FSL-1.1-MIT
miroir,fr,6,,Surface reflechissante,hand-curated,FSL-1.1-MIT
mise,fr,4,,Somme engagee,hand-curated,FSL-1.1-MIT
mode,fr,4,,Tendance vestimentaire,hand-curated,FSL-1.1-MIT
mot,fr,3,,Unite du langage,hand-curated,FSL-1.1-MIT
mouche,fr,6,,Insecte volant,hand-curated,FSL-1.1-MIT
mouton,fr,6,,Ovin laineux,hand-curated,FSL-1.1-MIT
mu,fr,2,,Lettre grecque,hand-curated,FSL-1.1-MIT
muse,fr,4,,Source d'inspiration,hand-curated,FSL-1.1-MIT
mystere,fr,7,,Chose inexplicable,hand-curated,FSL-1.1-MIT
na,fr,2,,Interjection moqueuse,hand-curated,FSL-1.1-MIT
navire,fr,6,,Grand bateau,hand-curated,FSL-1.1-MIT
ne,fr,2,,Adverbe de negation,hand-curated,FSL-1.1-MIT
net,fr,3,,Propre et clair,hand-curated,FSL-1.1-MIT
ni,fr,2,,Conjonction negative,hand-curated,FSL-1.1-MIT
nier,fr,4,,Contester,hand-curated,FSL-1.1-MIT
nitrate,fr,7,,Compose chimique,hand-curated,FSL-1.1-MIT
noeud,fr,5,,Entrelacement de fils,hand-curated,FSL-1.1-MIT
noix,fr,4,,Fruit a coque,hand-curated,FSL-1.1-MIT
nom,fr,3,,Designation d'une personne,hand-curated,FSL-1.1-MIT
note,fr,4,,Son musical,hand-curated,FSL-1.1-MIT
noyade,fr,6,,Mort par submersion,hand-curated,FSL-1.1-MIT
nu,fr,2,,Sans vetement,hand-curated,FSL-1.1-MIT
nuage,fr,5,,Masse de vapeur,hand-curated,FSL-1.1-MIT
nue,fr,3,,Sans vetement,hand-curated,FSL-1.1-MIT
oasis,fr,5,,Point d'eau au desert,hand-curated,FSL-1.1-MIT
oca,fr,3,,Plante tubereuse,hand-curated,FSL-1.1-MIT
ole,fr,3,,Exclamation espagnole,hand-curated,FSL-1.1-MIT
olive,fr,5,,Fruit de l'olivier,hand-curated,FSL-1.1-MIT
on,fr,2,,Pronom indefini,hand-curated,FSL-1.1-MIT
onde,fr,4,,Vibration propagee,hand-curated,FSL-1.1-MIT
opa,fr,3,,Offre publique d'achat,hand-curated,FSL-1.1-MIT
opale,fr,5,,Pierre precieuse,hand-curated,FSL-1.1-MIT
or,fr,2,,Metal precieux,hand-curated,FSL-1.1-MIT
orage,fr,5,,Tempete avec eclairs,hand-curated,FSL-1.1-MIT
orange,fr,6,,Agrume colore,hand-curated,FSL-1.1-MIT
ore,fr,3,,Minerai en anglais,hand-curated,FSL-1.1-MIT
oree,fr,4,,Bordure de foret,hand-curated,FSL-1.1-MIT
orge,fr,4,,Cereale a biere,hand-curated,FSL-1.1-MIT
orgue,fr,5,,Instrument a tuyaux,hand-curated,FSL-1.1-MIT
os,fr,2,,Partie du squelette,hand-curated,FSL-1.1-MIT
ose,fr,3,,Audacieux,hand-curated,FSL-1.1-MIT
osee,fr,4,,Audacieuse,hand-curated,FSL-1.1-MIT
oser,fr,4,,Avoir l'audace,hand-curated,FSL-1.1-MIT
ou,fr,2,,Conjonction alternative,hand-curated,FSL-1.1-MIT
oui,fr,3,,Affirmation,hand-curated,FSL-1.1-MIT
ourse,fr,5,,Femelle du plantigrade,hand-curated,FSL-1.1-MIT
oursin,fr,6,,Animal marin epineux,hand-curated,FSL-1.1-MIT
ovale,fr,5,,Forme d'oeuf,hand-curated,FSL-1.1-MIT
paille,fr,6,,Tige de cereale sechee,hand-curated,FSL-1.1-MIT
paix,fr,4,,Absence de conflit,hand-curated,FSL-1.1-MIT
palais,fr,6,,Demeure royale,hand-curated,FSL-1.1-MIT
panache,fr,7,,Bravoure eclatante,hand-curated,FSL-1.1-MIT
panier,fr,6,,Contenant tresse,hand-curated,FSL-1.1-MIT
papier,fr,6,,Support pour ecrire,hand-curated,FSL-1.1-MIT
paradis,fr,7,,Lieu de bonheur,hand-curated,FSL-1.1-MIT
parfum,fr,6,,Fragrance agreable,hand-curated,FSL-1.1-MIT
parole,fr,6,,Mot prononce,hand-curated,FSL-1.1-MIT
peau,fr,4,,Enveloppe du corps,hand-curated,FSL-1.1-MIT
peigne,fr,6,,Outil de coiffure,hand-curated,FSL-1.1-MIT
pelican,fr,7,,Oiseau a grand bec,hand-curated,FSL-1.1-MIT
pelote,fr,6,,Boule de fil,hand-curated,FSL-1.1-MIT
perle,fr,5,,Joyau d'huitre,hand-curated,FSL-1.1-MIT
peu,fr,3,,Faible quantite,hand-curated,FSL-1.1-MIT
phare,fr,5,,Tour lumineuse cotiere,hand-curated,FSL-1.1-MIT
pi,fr,2,,Lettre grecque,hand-curated,FSL-1.1-MIT
piano,fr,5,,Instrument a touches,hand-curated,FSL-1.1-MIT
piece,fr,5,,Salle ou monnaie,hand-curated,FSL-1.1-MIT
pigeon,fr,6,,Oiseau des villes,hand-curated,FSL-1.1-MIT
pince,fr,5,,Outil de prehension,hand-curated,FSL-1.1-MIT
pirate,fr,6,,Bandit des mers,hand-curated,FSL-1.1-MIT
piste,fr,5,,Chemin trace,hand-curated,FSL-1.1-MIT
plage,fr,5,,Rivage de sable,hand-curated,FSL-1.1-MIT
